,X,month,LongDes,sum.ItemQuant.
444,3325,8,BB PREM BUNNY TRACKS,65
445,3326,8,BB PREM BUTTER PECAN,61
446,3327,8,BB PREM CHUNKY CHOC CHIP,37
447,3328,8,BB PREM COOKIES N CREAM,96
448,3329,8,BB PREM DBL STRWBRY,54
449,3330,8,BB PREM HOMEMADE CHOC,94
450,3331,8,BB PREM HOMEMADE VAN,194
451,3332,8,BB PREM MINT CHOC CHIP,95
452,3333,8,BB PREM NEAPOLITAN,43
453,3334,8,BB PREM PNUT BTTR PANIC,63
454,3335,8,BB PREM ROCKY ROAD,52
455,3336,8,BB PREM TSTD ALMND FUDGE,35
456,3337,8,BB RAINBOW FREEZE SINGLE,87
457,3338,8,BB RAINBOW POP UPS SINGLE,104
458,3339,8,BB SMPLY VAN SNCWCH,144
459,3340,8,BB STRW FRUIT BARS,227
460,3341,8,BB STRWBRRY DPPD FRT BARS,74
461,3342,8,BB SUNDAE CUPS,13
462,3343,8,BB SWEET FREEDOM VAN,80
463,3344,8,BB SWT FRDM BAN SPLIT,31
464,3345,8,BB SWT FRDM BTR PECAN,44
465,3346,8,BB SWT FRDM BUNNY TRACKS,40
466,3347,8,BB SWT FRDM VRTY PK BARS,29
467,3348,8,BB TRPL DLGHT SNDWCH,119
468,3359,8,BLUE BELL AST SHERBET,73
469,3360,8,BLUE BELL BANANA POPS,97
470,3361,8,BLUE BELL BRTHDAY CK CUPS 12CT,42
471,3362,8,BLUE BELL CCNT FRUIT BARS,61
472,3363,8,BLUE BELL CHOC ECLAIR BAR,24
473,3364,8,BLUE BELL DBL VNLA IC SNDW,62
474,3365,8,BLUE BELL DREAM BAR,115
475,3366,8,BLUE BELL HMADE VAN CUPS 12CT,81
476,3367,8,BLUE BELL KRUNCH BARS,131
477,3368,8,BLUE BELL LIME FRUIT BARS,106
478,3369,8,BLUE BELL MINI CONE,92
479,3370,8,BLUE BELL MINI PARTY CONES,38
480,3371,8,BLUE BELL MOOO BAR,11
481,3372,8,BLUE BELL PEACH FRT BARS,57
482,3373,8,BLUE BELL STRWBRY SHRTCK BR,90
483,3378,8,BLUEBELL MINI RAINBOWS,-1
484,3379,8,BLUEBELL MOOO BARS,192
485,3380,8,BLUEBELL NS ADDED PT,69
486,3381,8,BLUEBELL SF BULLETS,89
487,3382,8,BLUEBELL SHERBET RAINBOW,21
488,3490,8,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,1
489,3800,9,BB BDAY PARTY SNDWCH,70
490,3801,9,BB BORDEAUX CHRY CHOC,138
491,3802,9,BB BULLETS,-1
492,3803,9,BB CHAMP VAR PK CONES,151
493,3804,9,BB CHOC CHRY BARS,-1
494,3805,9,BB DIPPED COCONUT FRT BARS,-3
495,3806,9,BB ICE CREAM SANDWICH,-1
496,3807,9,BB MINI SANDWICH,-7
497,3808,9,BB MINI SWIRL CRML CONES,116
498,3809,9,BB MINI SWRL BDAY PRTY CONE,72
499,3810,9,BB PREM BUNNY TRACKS,243
500,3811,9,BB PREM BUTTER PECAN,227
501,3812,9,BB PREM CHUNKY CHOC CHIP,150
502,3813,9,BB PREM COOKIES N CREAM,348
503,3814,9,BB PREM DBL STRWBRY,174
504,3815,9,BB PREM HOMEMADE CHOC,351
505,3816,9,BB PREM HOMEMADE VAN,825
506,3817,9,BB PREM MINT CHOC CHIP,299
507,3818,9,BB PREM NEAPOLITAN,171
508,3819,9,BB PREM PNUT BTTR PANIC,211
509,3820,9,BB PREM ROCKY ROAD,200
510,3821,9,BB PREM TSTD ALMND FUDGE,158
511,3822,9,BB RAINBOW FREEZE SINGLE,-1
512,3823,9,BB SMPLY VAN SNCWCH,335
513,3824,9,BB STRW FRUIT BARS,-2
514,3825,9,BB STRWBRRY DPPD FRT BARS,-4
515,3826,9,BB SUNDAE CUPS,-1
516,3827,9,BB SWEET FREEDOM VAN,208
517,3828,9,BB SWT FRDM BAN SPLIT,101
518,3829,9,BB SWT FRDM BTR PECAN,123
519,3830,9,BB SWT FRDM BUNNY TRACKS,122
520,3831,9,BB SWT FRDM VRTY PK BARS,45
521,3832,9,BB TRPL DLGHT SNDWCH,206
522,3843,9,BLUE BELL AST SHERBET,-1
523,3844,9,BLUE BELL CCNT FRUIT BARS,-1
524,3845,9,BLUE BELL COTTON CANDY BARS,-1
525,3846,9,BLUE BELL DREAM BAR,-2
526,3847,9,BLUE BELL KRUNCH BARS,-2
527,3848,9,BLUE BELL MINI CONE,-1
528,3849,9,BLUE BELL PEACH FRT BARS,-4
529,3854,9,BLUEBELL MOOO BARS,-4
530,3855,9,BLUEBELL SHERBET RAINBOW,-2
531,4205,10,*D*BB SWT FRDM NSA FUDGE BAR 12CT,142
532,4264,10,*Z*BB SWT FRDM FDG LT 800134,11
533,4325,10,BB BDAY PARTY SNDWCH,92
534,4326,10,BB BORDEAUX CHRY CHOC,210
535,4327,10,BB CHAMP VAR PK CONES,151
536,4328,10,BB CHOC & VAN CUPS 12CT,-2
537,4329,10,BB MINI SWIRL CRML CONES,167
538,4330,10,BB MINI SWRL BDAY PRTY CONE,112
539,4331,10,BB PREM BUNNY TRACKS,365
540,4332,10,BB PREM BUTTER PECAN,381
541,4333,10,BB PREM CHUNKY CHOC CHIP,272
542,4334,10,BB PREM COOKIES N CREAM,634
543,4335,10,BB PREM DBL STRWBRY,317
544,4336,10,BB PREM HOMEMADE CHOC,634
545,4337,10,BB PREM HOMEMADE VAN,1284
546,4338,10,BB PREM MINT CHOC CHIP,420
547,4339,10,BB PREM NEAPOLITAN,341
548,4340,10,BB PREM PNUT BTTR PANIC,338
549,4341,10,BB PREM ROCKY ROAD,267
550,4342,10,BB PREM TSTD ALMND FUDGE,240
551,4343,10,BB RNBOW SHERBET CUPS 12CT,151
552,4344,10,BB SMPLY VAN SNCWCH,445
553,4345,10,BB SWEET FREEDOM VAN,259
554,4346,10,BB SWT FRDM BAN SPLIT,172
555,4347,10,BB SWT FRDM BTR PECAN,154
556,4348,10,BB SWT FRDM BUNNY TRACKS,208
557,4349,10,BB SWT FRDM NSA FUDGE BAR,142
558,4350,10,BB SWT FRDM VRTY PK BARS,67
559,4351,10,BB TRPL DLGHT SNDWCH,230
560,4373,10,BLUEBELL MOOO BARS,-1
561,4469,10,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,21
562,4774,11,*D*BB SWT FRDM NSA FUDGE BAR 12CT,201
563,4789,11,*Z*BB SWT FRDM FDG LT 800134,6
564,4845,11,BB BDAY PARTY SNDWCH,90
565,4846,11,BB BORDEAUX CHRY CHOC,269
566,4847,11,BB CHAMP VAR PK CONES,134
567,4848,11,BB MINI SWIRL CRML CONES,194
568,4849,11,BB MINI SWRL BDAY PRTY CONE,148
569,4850,11,BB PREM BUNNY TRACKS,383
570,4851,11,BB PREM BUTTER PECAN,415
571,4852,11,BB PREM CHUNKY CHOC CHIP,254
572,4853,11,BB PREM COOKIES N CREAM,612
573,4854,11,BB PREM DBL STRWBRY,339
574,4855,11,BB PREM HOMEMADE CHOC,653
575,4856,11,BB PREM HOMEMADE VAN,1349
576,4857,11,BB PREM MINT CHOC CHIP,396
577,4858,11,BB PREM NEAPOLITAN,341
578,4859,11,BB PREM PNUT BTTR PANIC,371
579,4860,11,BB PREM ROCKY ROAD,318
580,4861,11,BB PREM TSTD ALMND FUDGE,381
581,4862,11,BB RNBOW SHERBET CUPS 12CT,153
582,4863,11,BB SMPLY VAN SNCWCH,451
583,4864,11,BB SWEET FREEDOM VAN,294
584,4865,11,BB SWT FRDM BAN SPLIT,170
585,4866,11,BB SWT FRDM BTR PECAN,185
586,4867,11,BB SWT FRDM BUNNY TRACKS,172
587,4868,11,BB SWT FRDM NSA FUDGE BAR,201
588,4869,11,BB SWT FRDM VRTY PK BARS,68
589,4870,11,BB TRPL DLGHT SNDWCH,204
590,4986,11,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,10
591,5292,12,*D*BB SWT FRDM NSA FUDGE BAR 12CT,236
592,5349,12,BB BDAY PARTY SNDWCH,68
593,5350,12,BB BORDEAUX CHRY CHOC,333
594,5351,12,BB CHAMP VAR PK CONES,103
595,5352,12,BB MINI SWIRL CRML CONES,203
596,5353,12,BB MINI SWRL BDAY PRTY CONE,166
597,5354,12,BB PREM BUNNY TRACKS,562
598,5355,12,BB PREM BUTTER PECAN,516
599,5356,12,BB PREM CHUNKY CHOC CHIP,302
600,5357,12,BB PREM COOKIES N CREAM,787
601,5358,12,BB PREM DBL STRWBRY,392
602,5359,12,BB PREM HOMEMADE CHOC,745
603,5360,12,BB PREM HOMEMADE VAN,1551
604,5361,12,BB PREM MINT CHOC CHIP,520
605,5362,12,BB PREM NEAPOLITAN,406
606,5363,12,BB PREM PNUT BTTR PANIC,401
607,5364,12,BB PREM ROCKY ROAD,327
608,5365,12,BB PREM TSTD ALMND FUDGE,391
609,5366,12,BB RNBOW SHERBET CUPS 12CT,152
610,5367,12,BB SMPLY VAN SNCWCH,298
611,5368,12,BB SWEET FREEDOM VAN,268
612,5369,12,BB SWT FRDM BAN SPLIT,166
613,5370,12,BB SWT FRDM BTR PECAN,198
614,5371,12,BB SWT FRDM BUNNY TRACKS,223
615,5372,12,BB SWT FRDM NSA FUDGE BAR,236
616,5373,12,BB SWT FRDM VRTY PK BARS,59
617,5374,12,BB TRPL DLGHT SNDWCH,195
618,5492,12,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,8
619,5800,13,*D*BB SWT FRDM NSA FUDGE BAR 12CT,115
620,5806,13,*Z*BB FNWCH CKIES N CRM966620,16
621,5807,13,*Z*BB FNWCH VN CH CHIP966619,34
622,5808,13,*Z*BB SWT FRDM FDG LT 800134,1
623,5861,13,BB BDAY PARTY SNDWCH,48
624,5862,13,BB BORDEAUX CHRY CHOC,361
625,5863,13,BB CHAMP VAR PK CONES,135
626,5864,13,BB CHOC LOVERS ICRM SNDWCH,44
627,5865,13,BB MINI SWIRL CONE CHOC,45
628,5866,13,BB MINI SWIRL CRML CONES,41
629,5867,13,BB MINI SWRL BDAY PRTY CONE,63
630,5868,13,BB PREM BUNNY TRACKS,579
631,5869,13,BB PREM BUTTER PECAN,604
632,5870,13,BB PREM CHUNKY CHOC CHIP,359
633,5871,13,BB PREM COOKIES N CREAM,775
634,5872,13,BB PREM DBL STRWBRY,404
635,5873,13,BB PREM HOMEMADE CHOC,669
636,5874,13,BB PREM HOMEMADE VAN,1607
637,5875,13,BB PREM MINT CHOC CHIP,563
638,5876,13,BB PREM NEAPOLITAN,441
639,5877,13,BB PREM PNUT BTTR PANIC,461
640,5878,13,BB PREM ROCKY ROAD,356
641,5879,13,BB PREM TSTD ALMND FUDGE,414
642,5880,13,BB RNBOW SHERBET CUPS 12CT,124
643,5881,13,BB SMPLY VAN SNCWCH,114
644,5882,13,BB SWEET FREEDOM VAN,288
645,5883,13,BB SWT FRDM BAN SPLIT,171
646,5884,13,BB SWT FRDM BTR PECAN,182
647,5885,13,BB SWT FRDM BUNNY TRACKS,219
648,5886,13,BB SWT FRDM NSA FUDGE BAR,115
649,5887,13,BB SWT FRDM VAN IC SNDWCH,68
650,5888,13,BB SWT FRDM VRTY PK BARS,19
651,5889,13,BB TRPL DLGHT SNDWCH,96
652,6016,13,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,17
653,6321,14,*D*BB SWT FRDM NSA FUDGE BAR 12CT,97
654,6330,14,*Z*BB FNWCH CKIES N CRM966620,41
655,6331,14,*Z*BB FNWCH VN CH CHIP966619,60
656,6332,14,*Z*BB SWT FRDM FDG LT 800134,10
657,6384,14,BB BORDEAUX CHRY CHOC,211
658,6385,14,BB CHAMP VAR PK CONES,153
659,6386,14,BB CHOC LOVERS ICRM SNDWCH,103
660,6387,14,BB MINI SWIRL CONE CHOC,86
661,6388,14,BB MINI SWIRL CRML CONES,11
662,6389,14,BB MINI SWRL BDAY PRTY CONE,9
663,6390,14,BB PREM BUNNY TRACKS,353
664,6391,14,BB PREM BUTTER PECAN,320
665,6392,14,BB PREM CHUNKY CHOC CHIP,194
666,6393,14,BB PREM COOKIES N CREAM,374
667,6394,14,BB PREM DBL STRWBRY,193
668,6395,14,BB PREM HOMEMADE CHOC,418
669,6396,14,BB PREM HOMEMADE VAN,929
670,6397,14,BB PREM MINT CHOC CHIP,274
671,6398,14,BB PREM NEAPOLITAN,211
672,6399,14,BB PREM PNUT BTTR PANIC,275
673,6400,14,BB PREM ROCKY ROAD,185
674,6401,14,BB PREM TSTD ALMND FUDGE,268
675,6402,14,BB RNBOW SHERBET CUPS 12CT,162
676,6403,14,BB SMPLY VAN SNCWCH,2
677,6404,14,BB SWEET FREEDOM VAN,162
678,6405,14,BB SWT FRDM BAN SPLIT,99
679,6406,14,BB SWT FRDM BTR PECAN,127
680,6407,14,BB SWT FRDM BUNNY TRACKS,124
681,6408,14,BB SWT FRDM NSA FUDGE BAR,97
682,6409,14,BB SWT FRDM VAN IC SNDWCH,270
683,6410,14,BB SWT FRDM VRTY PK BARS,12
684,6542,14,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,9
685,6853,15,*D*BB SWT FRDM NSA FUDGE BAR 12CT,69
686,6866,15,*Z*BB FNWCH CKIES N CRM966620,34
687,6867,15,*Z*BB FNWCH VN CH CHIP966619,28
688,6868,15,*Z*BB SWT FRDM FDG LT 800134,10
689,6920,15,BB BDAY PARTY SNDWCH,32
690,6921,15,BB BORDEAUX CHRY CHOC,254
691,6922,15,BB CHAMP VAR PK CONES,64
692,6923,15,BB CHOC LOVERS ICRM SNDWCH,78
693,6924,15,BB MINI SWIRL CONE CHOC,83
694,6925,15,BB MINI SWIRL CRML CONES,99
695,6926,15,BB MINI SWRL BDAY PRTY CONE,69
696,6927,15,BB PREM BUNNY TRACKS,452
697,6928,15,BB PREM BUTTER PECAN,415
698,6929,15,BB PREM CHUNKY CHOC CHIP,227
699,6930,15,BB PREM COOKIES N CREAM,525
700,6931,15,BB PREM DBL STRWBRY,248
701,6932,15,BB PREM HOMEMADE CHOC,497
702,6933,15,BB PREM HOMEMADE VAN,1496
703,6934,15,BB PREM MINT CHOC CHIP,401
704,6935,15,BB PREM NEAPOLITAN,258
705,6936,15,BB PREM PNUT BTTR PANIC,373
706,6937,15,BB PREM ROCKY ROAD,290
707,6938,15,BB PREM TSTD ALMND FUDGE,327
708,6939,15,BB RNBOW SHERBET CUPS 12CT,100
709,6940,15,BB SMPLY VAN SNCWCH,143
710,6941,15,BB SWEET FREEDOM VAN,195
711,6942,15,BB SWT FRDM BAN SPLIT,118
712,6943,15,BB SWT FRDM BTR PECAN,144
713,6944,15,BB SWT FRDM BUNNY TRACKS,142
714,6945,15,BB SWT FRDM NSA FUDGE BAR,69
715,6946,15,BB SWT FRDM VAN IC SNDWCH,158
716,6947,15,BB TRPL DLGHT SNDWCH,101
717,7080,15,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,9
718,7385,16,*D*BB SWT FRDM NSA FUDGE BAR 12CT,71
719,7397,16,*Z*BB FNWCH CKIES N CRM966620,24
720,7398,16,*Z*BB FNWCH VN CH CHIP966619,6
721,7399,16,*Z*BB SWT FRDM FDG LT 800134,2
722,7455,16,BB BDAY PARTY SNDWCH,24
723,7456,16,BB BORDEAUX CHRY CHOC,236
724,7457,16,BB CHAMP VAR PK CONES,39
725,7458,16,BB CHOC & VAN CUPS 12CT,858
726,7459,16,BB CHOC LOVERS ICRM SNDWCH,50
727,7460,16,BB MINI SWIRL CONE CHOC,89
728,7461,16,BB MINI SWIRL CRML CONES,75
729,7462,16,BB MINI SWRL BDAY PRTY CONE,78
730,7463,16,BB PREM BUNNY TRACKS,312
731,7464,16,BB PREM BUTTER PECAN,237
732,7465,16,BB PREM CHUNKY CHOC CHIP,197
733,7466,16,BB PREM COOKIES N CREAM,320
734,7467,16,BB PREM DBL STRWBRY,186
735,7468,16,BB PREM HOMEMADE CHOC,379
736,7469,16,BB PREM HOMEMADE VAN,697
737,7470,16,BB PREM MINT CHOC CHIP,327
738,7471,16,BB PREM NEAPOLITAN,168
739,7472,16,BB PREM PNUT BTTR PANIC,287
740,7473,16,BB PREM ROCKY ROAD,221
741,7474,16,BB PREM TSTD ALMND FUDGE,224
742,7475,16,BB RNBOW SHERBET CUPS 12CT,114
743,7476,16,BB SMPLY VAN SNCWCH,141
744,7477,16,BB SWEET FREEDOM VAN,183
745,7478,16,BB SWT FRDM BAN SPLIT,82
746,7479,16,BB SWT FRDM BTR PECAN,121
747,7480,16,BB SWT FRDM BUNNY TRACKS,120
748,7481,16,BB SWT FRDM NSA FUDGE BAR,71
749,7482,16,BB SWT FRDM VAN IC SNDWCH,142
750,7483,16,BB TRPL DLGHT SNDWCH,79
751,7498,16,BLUE BELL HMADE VAN CUPS 12CT,481
752,7906,17,*D*BB SWT FRDM NSA FUDGE BAR 12CT,95
753,7918,17,*Z*BB FNWCH CKIES N CRM966620,26
754,7919,17,*Z*BB FNWCH VN CH CHIP966619,19
755,7975,17,BB BDAY PARTY SNDWCH,48
756,7976,17,BB BORDEAUX CHRY CHOC,136
757,7977,17,BB CHAMP VAR PK CONES,73
758,7978,17,BB CHOC & VAN CUPS 12CT,815
759,7979,17,BB CHOC LOVERS ICRM SNDWCH,62
760,7980,17,BB MINI SWIRL CONE CHOC,118
761,7981,17,BB MINI SWIRL CRML CONES,82
762,7982,17,BB MINI SWRL BDAY PRTY CONE,82
763,7983,17,BB PREM BUNNY TRACKS,162
764,7984,17,BB PREM BUTTER PECAN,138
765,7985,17,BB PREM CHUNKY CHOC CHIP,97
766,7986,17,BB PREM COOKIES N CREAM,157
767,7987,17,BB PREM DBL STRWBRY,103
768,7988,17,BB PREM HOMEMADE CHOC,163
769,7989,17,BB PREM HOMEMADE VAN,237
770,7990,17,BB PREM MINT CHOC CHIP,224
771,7991,17,BB PREM NEAPOLITAN,67
772,7992,17,BB PREM PNUT BTTR PANIC,164
773,7993,17,BB PREM ROCKY ROAD,134
774,7994,17,BB PREM TSTD ALMND FUDGE,147
775,7995,17,BB RNBOW SHERBET CUPS 12CT,140
776,7996,17,BB SMPLY VAN SNCWCH,173
777,7997,17,BB SWEET FREEDOM VAN,133
778,7998,17,BB SWT FRDM BAN SPLIT,65
779,7999,17,BB SWT FRDM BTR PECAN,104
780,8000,17,BB SWT FRDM BUNNY TRACKS,103
781,8001,17,BB SWT FRDM NSA FUDGE BAR,95
782,8002,17,BB SWT FRDM VAN IC SNDWCH,204
783,8003,17,BB TRPL DLGHT SNDWCH,100
784,8019,17,BLUE BELL HMADE VAN CUPS 12CT,597
785,8133,17,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,14
786,8444,18,*D*BB SWT FRDM NSA FUDGE BAR 12CT,121
787,8459,18,*Z*BB FNWCH CKIES N CRM966620,15
788,8460,18,*Z*BB FNWCH VN CH CHIP966619,27
789,8461,18,*Z*BB SWT FRDM FDG LT 800134,1
790,8552,18,BB ALMOND BAR SINGLE 1EA,9
791,8553,18,BB BANANA FUDGE BAR,305
792,8554,18,BB BDAY PARTY SNDWCH,29
793,8555,18,BB BDAY PARTY SNDWCH 8PK,40
794,8556,18,BB BORDEAUX CHRY CHOC,152
795,8557,18,BB BULLETS 24EA,222
796,8558,18,BB CHAMP VAR PK CONES,131
797,8559,18,BB CHOC & VAN CUPS 12CT,706
798,8560,18,BB CHOC & VAN CUPS 12EA,454
799,8561,18,"BB CHOC CHIP COOKIE SINGLE 5,25OZ",169
800,8562,18,BB CHOC CHRY BARS 12PK,33
801,8563,18,BB CHOC FUDGE BAR,144
802,8564,18,BB CHOC LOVERS ICRM SNDWCH,46
803,8565,18,BB CKS/CREAM SANDWICH SINGLE 1EA,323
804,8566,18,BB CNTRY CONE CKS/CRM SGL 1EA,170
805,8567,18,BB CNTRY CONE VANILLA SINGLE 1EA,245
806,8568,18,BB CREME POPS 24EA,56
807,8569,18,BB DIPPED COCONUT FRT BARS,137
808,8570,18,BB FUDGE BOMBSTIK SINGLE 1EA,494
809,8571,18,BB GREAT DIVIDE SINGLES 1EA,28
810,8572,18,BB HOMEMADE VANILLA CUP SGL,5
811,8573,18,BB HOMEMADE VANILLA CUP SGL 1EA,294
812,8574,18,BB ICE CREAM SANDWICH 12EA,277
813,8575,18,BB ICE CREAM SANDWICH SINGLE 1EA,311
814,8576,18,BB KRUNCH BAR SINGLE 1EA,288
815,8577,18,BB LIME FRUIT BAR SNGLE,17
816,8578,18,BB MINI SANDWICH 24EA,240
817,8579,18,BB MINI SWIRL CONE CHOC,94
818,8580,18,BB MINI SWIRL CRML CONES,77
819,8581,18,BB MINI SWIRL CRML CONES 18OZ,62
820,8582,18,BB MINI SWRL BDAY PRTY CONE,86
821,8583,18,BB MINT CCHIP BARS,93
822,8584,18,BB MIXED BERRIES FRT BARS,237
823,8585,18,"BB NEAO SANDWICH SINGLE 5,75OZ",178
824,8586,18,BB NSA MOOO BARS 12EA,86
825,8587,18,BB PEACH FRUIT BAR SNGL,1
826,8588,18,BB PREM BUNNY TRACKS,133
827,8589,18,BB PREM BUTTER PECAN,139
828,8590,18,BB PREM CHUNKY CHOC CHIP,106
829,8591,18,BB PREM COOKIES N CREAM,221
830,8592,18,BB PREM DBL STRWBRY,121
831,8593,18,BB PREM HOMEMADE CHOC,206
832,8594,18,BB PREM HOMEMADE VAN,345
833,8595,18,BB PREM MINT CHOC CHIP,237
834,8596,18,BB PREM NEAPOLITAN,105
835,8597,18,BB PREM PNUT BTTR PANIC,138
836,8598,18,BB PREM ROCKY ROAD,172
837,8599,18,BB PREM TSTD ALMND FUDGE,129
838,8600,18,BB RAINBOW FREEZE SINGLE 1EA,147
839,8601,18,BB RAINBOW POP UPS SINGLE 1EA,80
840,8602,18,BB RNBOW SHERBET CUPS 12CT,124
841,8603,18,BB SMPLY VAN SNCWCH,149
842,8604,18,BB SMPLY VAN SNCWCH 8PK,110
843,8605,18,BB STRW FRUIT BARS,560
844,8606,18,BB SUNDAE CUPS,153
845,8607,18,BB SWEET FREEDOM VAN,130
846,8608,18,BB SWT FRDM BAN SPLIT,114
847,8609,18,BB SWT FRDM BTR PECAN,108
848,8610,18,BB SWT FRDM BUNNY TRACKS,121
849,8611,18,BB SWT FRDM NSA FUDGE BAR,121
850,8612,18,BB SWT FRDM VAN IC SNDWCH,218
851,8613,18,BB TRPL DLGHT SNDWCH,94
852,8614,18,BB TRPL DLGHT SNDWCH 8PK,93
853,8669,18,BLUE BELL AST SHERBET 32OZ,712
854,8670,18,BLUE BELL BANANA POPS,254
855,8671,18,BLUE BELL BRTHDAY CK CUPS 12EA,138
856,8672,18,BLUE BELL CHOC ECLAIR BAR 1EA,6
857,8673,18,BLUE BELL COCONUT FRUIT BARS,152
858,8674,18,BLUE BELL COTTON CANDY BARS,90
859,8675,18,BLUE BELL DBL VNLA IC SNDW 1EA,123
860,8676,18,BLUE BELL DREAM BAR,197
861,8677,18,BLUE BELL HMADE VAN CUPS 12CT,625
862,8678,18,BLUE BELL HMADE VAN CUPS 12EA,453
863,8679,18,BLUE BELL KRUNCH BARS 12EA,321
864,8680,18,BLUE BELL LIME FRUIT BARS,267
865,8681,18,BLUE BELL MINI CONE 12EA,174
866,8682,18,BLUE BELL MINI PARTY CONES,71
867,8683,18,BLUE BELL MOOO BAR,24
868,8684,18,BLUE BELL PEACH FRUIT BARS,48
869,8685,18,BLUE BELL SOUR POPS GREEN APPLE,46
870,8686,18,BLUE BELL STRAWBERRY DIPPED FRUIT BARS,261
871,8687,18,BLUE BELL STRWBRY SHRTCK BR 1EA,145
872,8698,18,BLUEBELL MINI RAINBOWS 24EA,132
873,8699,18,BLUEBELL MOOO BARS 12EA,390
874,8700,18,BLUEBELL NS ADDED PT 16OZ,149
875,8701,18,BLUEBELL SF BULLETS 24EA,184
876,8702,18,BLUEBELL SHERBET RAINBOW 16OZ,183
877,8892,18,FREAL SMOOTHIE BB RSP PMGRNTE 16OZ,12
